"Name","Runtime","Notes","Tags","epochs","ffn_dim","num_encoders","num_heads","patch_size","weight_decay","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy.max","val_loss.min"
"swift-sweep-45","266","-","","25","2048","5","64","14","0.0001","99.01","0.5295563101768493","97.49444444444444","0.5675304068459405","97.85","0.5551045338312784"
"distinctive-sweep-6","346","-","","32","1024","5","32","7","0.01","99.01","0.5267246842384339","97.77962962962962","0.5605143639776442","98.08333333333331","0.550881564617157"
"fine-sweep-3","240","-","","32","2048","6","32","14","0","98.97","0.5277092099189759","97.6462962962963","0.5624877523492884","98.06666666666666","0.5541678468386332"
"fluent-sweep-37","263","-","","40","1024","6","64","14","0","98.96","0.5306955456733704","97.78148148148148","0.5602705147531297","98.13333333333334","0.5513416528701782"
"misty-sweep-1","274","-","","32","1024","6","32","14","0.01","98.94","0.5291648268699646","97.93148148148148","0.5580760637919108","98.1","0.5485464930534363"
"colorful-sweep-19","233","-","","40","2048","5","32","14","0","98.93","0.5306731581687927","97.4351851851852","0.5700850288073221","97.78333333333332","0.556087851524353"
"atomic-sweep-47","349","-","","32","1024","5","64","7","0.01","98.91","0.5297597765922546","97.55925925925926","0.5661848054991828","97.85","0.5557853579521179"
"soft-sweep-31","201","-","","40","2048","6","64","14","0","98.91","0.5309350609779357","96.96666666666668","0.5811642496674149","97.36666666666666","0.5670815706253052"
"autumn-sweep-28","261","-","","32","2048","6","64","14","0.0001","98.88","0.5307084321975708","97.46851851851852","0.5697765195811236","97.5","0.5639117558797201"
"dry-sweep-29","206","-","","40","1024","5","32","14","0.001","98.87","0.5333032250404358","97.33518518518518","0.5720154863816721","97.6","0.5617732206980387"
"jolly-sweep-40","234","-","","40","2048","5","64","14","0.001","98.86","0.530037236213684","97.63518518518518","0.5650120554146943","97.93333333333334","0.557913064956665"
"cerulean-sweep-11","272","-","","32","2048","5","32","14","0.001","98.84","0.5297691106796265","97.38703703703705","0.5702884241386696","97.61666666666666","0.5594238638877869"
"earthy-sweep-35","333","-","","40","2048","5","64","7","0","98.81","0.5318753480911255","97.47962962962964","0.568231322147228","98.03333333333332","0.5507760445276896"
"bright-sweep-44","219","-","","40","1024","6","32","14","0.0001","98.81","0.5320854544639587","97.42592592592592","0.5716111682079457","97.75","0.5603420933087667"
"mild-sweep-30","190","-","","32","1024","6","64","14","0.001","98.8","0.5331015944480896","97.28703703703704","0.5740430708284732","97.45","0.5663774410883585"
"tough-sweep-33","250","-","","32","1024","6","64","14","0.0001","98.79","0.5317169427871704","97.62592592592593","0.5647209043856021","97.73333333333332","0.5613613128662109"
"fanciful-sweep-49","210","-","","25","1024","5","64","14","0.01","98.78","0.5309513211250305","97.4351851851852","0.569082913575349","97.78333333333332","0.5591627756754557"
"likely-sweep-27","223","-","","25","4096","5","64","14","0.0001","98.77","0.5334261536598206","97.3037037037037","0.5723890198601617","97.43333333333334","0.5669365326563517"
